,Name,Location,Class,Date of Incorporation,Activity,Email,Website,Top Level Employees,Linkdin Link 1,Linkdin Link 2,Linkdin Link 3,Linkdin Link 4,Linkdin Link 5
0,Dulhaniyaa,,,,,,https://www.dulhaniyaa.com/,,,,,,
1,Shopaccino,,,,,,https://www.shopaccino.com/,,,,,,
2,Websites.co.in,,,,,,https://websites.co.in/,,,,,,
3,Archidust,,,,,mailsfornga@gmail.com,https://archidust.com/,"AMRITA JHA(Designated Partner),MUKESH KUMAR(Designated Partner),RUPESH KUMAR JHA(Designated Partner),",https://in.linkedin.com/in/amrita-jha-a24046103,http://www.linkedin.com/pub/mukesh-kumar/62/b92/52,https://timesofindia.indiatimes.com/topic/rupesh-kumar-choudhary,,
4,Pink Blue India,RoC-Vijayawada,Private,02 December 2014,Building of complete constructions or parts thereof; civil engineering  Click here to see other companies involved in same activity.,nagendra_v99@rediffmail.com,https://www.pinkblueindia.com/,"MADABATTULA HARINYA(Director),SHANMUKHA MAHESH REDDI(Director),",https://www.ifoundbutterflies.org/sp/2104/Charana-mandarinus,https://www.dnaindia.com/entertainment/report-mahesh-babu-announces-next-film-sarkaru-vaari-paata-with-intriguing-teaser-poster-2826442,,,
5,Fashos.com,,,,,,https://www.fashos.com/,,,,,,
6,TechSquadTeam,RoC-Delhi,Private,11 March 2013,Post and courier activities  Click here to see other companies involved in same activity.,mohdnoumansait@gmail.com,https://techsquadteam.com/,,,,,,
7,Sunny Landing Pages,,,,,,https://sunnylandingpages.com/,"IMRAN SAIT(Director),YASMEEN BASHEER(Director),",https://www.inwise.com/knowledgebase/create-design-landing-pages/,https://ca.linkedin.com/in/yasmeenghadban,,,
8,Samyakk,,,,,,https://www.samyakk.com/,"IMRAN SAIT(Director),YASMEEN BASHEER(Director),",https://in.linkedin.com/in/imran-sait-23023319b,https://www.linkedin.com/pub/dir/Yasmin/Basheer,,,
9,Company360,RoC-Delhi,Private,25 January 2016,Business activities n.e.c.  Click here to see other companies involved in same activity.,INFO@COMPANY360.IN,https://www.company360.in/,,,,,,
