,Name,Location,Class,Date of Incorporation,Activity,Email,Website,Top Level Employees,Linkdin Link 1,Linkdin Link 2,Linkdin Link 3,Linkdin Link 4,Linkdin Link 5
0,TalentRecruit,RoC-Bangalore,Private,12 November 2014,"Software publishing, consultancy and supply [Software publishing includes production, supply and documentation of ready-made (non-customized) software, operating systems software, business & other applications software, computer games software for all platforms. Consultancy includes providing the best solution in the form of custom software after analyzing the user?s needs and problems. Custom software also includes made-to-order software based on orders from specific users. Also, included are writing of software of any kind following directives of the users; software maintenance, web-page design].  Click here to see other companies involved in same activity.",alok@talentrecruit.com,http://talentrecruit.com/,"SHALINI GUPTA(Director),ALOK AGARWAL(Director),ALOK GUPTA NIDHI(Director),ARVIND JONNALAGADDA(Director),",https://in.linkedin.com/in/shalini-gupta-61533467,https://in.linkedin.com/in/alok-agarwal-55a25710a,https://in.linkedin.com/in/alok-nidhi-gupta-0801a210,https://in.linkedin.com/in/arvind-chowdary-jonnalagadda-87a182140,
1,Synergita,RoC-Chennai,Private,23 November 2009,Other computer related activities [for example maintenance of websites of other firms/ creation of multimedia presentations for other firms etc.]  Click here to see other companies involved in same activity.,shankar.krishnamoorthy@aspiresys.com,https://www.synergita.com/,"THIRUMALAI NAMBAKKAM BHOOVARAHAN(Director),SANKARANARAYANAN RAMESWARAM KRISHNAMOORT(Director),SUBRAMANIAN GOWRISHANKAR(Director),",https://www.zaubacorp.com/director/BHOOVARAHAN-THIRUMALAI-NAMBAKKAM/00290869,https://in.linkedin.com/in/sankaranarayanan-krishnamoorthy-2119b478,https://in.linkedin.com/in/gowri-shankar-subramanian-44b689,,
2,Open HRMS,,,,,,https://www.openhrms.com/,"THIRUMALAI NAMBAKKAM BHOOVARAHAN(Director),SANKARANARAYANAN RAMESWARAM KRISHNAMOORT(Director),SUBRAMANIAN GOWRISHANKAR(Director),",https://nz.linkedin.com/in/vaish-thirumalai-nambakkam-634a92a5,https://in.linkedin.com/in/sankaranarayanan-krishnamoorthy-2119b478,https://in.linkedin.com/in/gowri-shankar-subramanian-44b689,,
3,Heavy Equipments,RoC-Bangalore,Private,25 September 2013,"Legal, accounting, book-keeping and auditing activities; tax consultancy; market research and public opinion polling; business and management consultancy  Click here to see other companies involved in same activity.",srg@scahe.co.in,https://www.vectorstock.com/royalty-free-vector/construction-machines-heavy-equipment-vehicles-vector-10707968,"JAYAVEL SARANGAPANI(Director),RAJAGOPAL SRINIVASAN SAKRAVARTHY(Director),",https://bestdataprovider.com/company-info/s-c-a-heavy-equipment-private-limited-sca/,https://in.linkedin.com/in/rajagopal-srinivasan-475a485,,,
4,Gyanunlimited,,,,,,https://www.gyanunlimited.com/,,,,,,
5,PropertyAdviser.in,RoC-Hyderabad,Private,31 May 2016,Business activities n.e.c.  Click here to see other companies involved in same activity.,bandlamudiravi@yahoo.com,https://propertyadviser.in/,"ANUPAMA KOGANTI(Director),RAVI KUMAR BANDLAMUDI(Director),",https://in.linkedin.com/in/anupama-3b08998a,https://in.linkedin.com/in/bandlamudiravi,,,
6,Cumulations Technologies,RoC-Bangalore,Private,21 December 2012,"Software publishing, consultancy and supply [Software publishing includes production, supply and documentation of ready-made (non-customized) software, operating systems software, business & other applications software, computer games software for all platforms. Consultancy includes providing the best solution in the form of custom software after analyzing the user?s needs and problems. Custom software also includes made-to-order software based on orders from specific users. Also, included are writing of software of any kind following directives of the users; software maintenance, web-page design].  Click here to see other companies involved in same activity.",saketbardia@gmail.com,https://www.cumulations.com/,"PRAVEENA DEVIPRASADA KUMARA(Director),MADHU SWAMY VENKATARAMANA(Director),PRADEEP VASANTHA RAJU(Director),",https://in.linkedin.com/in/praveena-d-a92a6523,https://in.linkedin.com/in/madhu-v-swamy-39bb121a,https://www.zaubacorp.com/company/Cumulations-Technologies-Private-Limited/U72200KA2012PTC067364,,
7,WordpressWebsite.in,,,,,,https://www.wordpresswebsite.in/,"PRAVEENA DEVIPRASADA KUMARA(Director),MADHU SWAMY VENKATARAMANA(Director),PRADEEP VASANTHA RAJU(Director),",https://in.linkedin.com/in/jilldeviprasad,https://in.linkedin.com/in/madhu-swamy-p-e-b384a239,https://lk.linkedin.com/in/pradeep-vasantha-fernando-69983a153,,
8,Online Business Organization,RoC-Mumbai,Private,26 September 2016,Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.]  Click here to see other companies involved in same activity.,p.mhetar@rediffmail.com,https://onlinebusiness.org/,"PANKAJ LAXMAN MHETAR(Director),SHWETA PANKAJ MHETAR(Director),",https://www.tofler.in/pankaj-laxman-mhetar/director/02749840,https://www.facebook.com/public/Shweta-Pankaj,,,
9,Fourseven,RoC-Delhi,Private,10 May 2007,Retail trade not in stores  Click here to see other companies involved in same activity.,vinayk2000@gmail.com,https://www.fourseven.com/,"VIKAS KUTHIALA(Director),REBEKKAH NEALE SHINA KUMAR(Director),VINAY KUMAR(Director),",https://in.linkedin.com/in/vikas-kuthiala-72464ab,https://www.instafinancials.com/director/rebekkah-neale-shina-kumar/01336824,https://in.linkedin.com/in/vinay-kumar-5308658,,
10,FforFree,,,,,,https://www.fforfree.net/,"VIKAS KUTHIALA(Director),REBEKKAH NEALE SHINA KUMAR(Director),VINAY KUMAR(Director),",https://in.linkedin.com/in/vikas-kuthiala-72464ab,https://www.instafinancials.com/director/rebekkah-neale-shina-kumar/01336824,https://in.linkedin.com/in/vinay-kumar-915b6638,,
11,InSync,RoC-Kolkata,Public,25 January 1991,"Activities auxiliary to financial intermediation, except insurance and pension funding.[This Group includes activities involved in or closely related to financial inter-mediation other than insurance and pension funding but not themselves involving financial inter-mediation].  Click here to see other companies involved in same activity.",compliance@insync.co.in,https://insync.co.in/,,,,,,
12,SocialBar.net,,,,,,https://www.socialbar.net/,"ATUL GUPTA(Managing Director),SHWETA GUPTA(Director),VIJAY KUMAR GUPTA(Director),LAL CHAND PRASAD(Director),",https://in.linkedin.com/in/atul-gupta-92693492,https://in.linkedin.com/in/shwetalakhimpur,https://in.linkedin.com/in/vijaykumarmandava,http://www.lalchandenterprises.in/,
13,Trendia.in,RoC-Bangalore,Private,05 February 2004,Hardware consultancy.[This class includes consultancy on type and configuration of hardware with or without associated software application.(Similar activities carried out by units selling computers are classified in class 3000)].  Click here to see other companies involved in same activity.,kotharirajeev@hotmail.com,https://trendia.in/,,,,,,
14,Shopping Outlet,RoC-Bangalore,Private,10 May 2010,Business activities n.e.c.  Click here to see other companies involved in same activity.,serge.gianchandani@gmail.com,https://shoppingoutlet.in/,"SUNDER GIANCHANDANI(Director),SAJAN GIANCHANDANI(Director),",https://bestdataprovider.com/company-info/tps-shopping-outlet-private-limited/,https://in.linkedin.com/in/sajang,,,
15,Tell-A-Tale,RoC-Pune,Private,19 March 2010,"Motion picture, radio, television and other entertainment activities  Click here to see other companies involved in same activity.",bendreanvay@gmail.com,https://www.tell-a-tale.com/,"VAIBHAV UTTAMRAO JOSHI(Director),ANVAY DHANANJAY BENDRE(Director),",https://in.linkedin.com/in/laddhavaibhav,https://in.linkedin.com/in/vrdhananjay,,,
